GENESIS-Tabelle: 12411-0006,,,,
"Bevölkerung: Deutschland, Stichtag, Altersjahre,",,,,
Nationalität/Geschlecht/Familienstand,,,,
Fortschreibung des Bevölkerungsstandes,,,,
Deutschland,,,,
Bevölkerungsstand (Anzahl),,,,
,,Geschlecht,Geschlecht,Geschlecht
,,männlich,weiblich,Insgesamt
1970-12-31,unter 1 Jahr,401679,382934,784613
1970-12-31,1-Jährige,448827,427427,876254
1970-12-31,2-Jährige,483801,460014,943815
1970-12-31,3-Jährige,504306,480476,984782
1970-12-31,4-Jährige,518807,494128,1012935
1970-12-31,5-Jährige,520701,494477,1015178
1970-12-31,6-Jährige,531377,504548,1035925
1970-12-31,7-Jährige,524231,499258,1023489
1970-12-31,8-Jährige,505021,480673,985694
1970-12-31,9-Jährige,502342,478820,981162
1970-12-31,10-Jährige,485587,462655,948242
1970-12-31,11-Jährige,474943,449530,924473
1970-12-31,12-Jährige,453733,429366,883099
1970-12-31,13-Jährige,445000,421625,866625
1970-12-31,14-Jährige,429208,407521,836729
1970-12-31,15-Jährige,414574,392218,806792
1970-12-31,16-Jährige,417036,398010,815046
1970-12-31,17-Jährige,403805,386152,789957
1970-12-31,18-Jährige,413332,393543,806875
1970-12-31,19-Jährige,409147,393738,802885
1970-12-31,20-Jährige,419966,405752,825718
1970-12-31,21-Jährige,429275,406559,835834
1970-12-31,22-Jährige,410415,389636,800051
1970-12-31,23-Jährige,392317,371232,763549
1970-12-31,24-Jährige,368837,345595,714432
1970-12-31,25-Jährige,320128,297694,617822
1970-12-31,26-Jährige,419426,392948,812374
1970-12-31,27-Jährige,432147,399825,831972
1970-12-31,28-Jährige,429324,390756,820080
1970-12-31,29-Jährige,519109,474420,993529
1970-12-31,30-Jährige,565680,513838,1079518
1970-12-31,31-Jährige,557881,507609,1065490
1970-12-31,32-Jährige,527776,480218,1007994
1970-12-31,33-Jährige,498541,453537,952078
1970-12-31,34-Jährige,493768,450742,944510
1970-12-31,35-Jährige,482928,441688,924616
1970-12-31,36-Jährige,458425,416855,875280
1970-12-31,37-Jährige,378777,343596,722373
1970-12-31,38-Jährige,379914,350331,730245
1970-12-31,39-Jährige,391213,362839,754052
1970-12-31,40-Jährige,419157,391057,810214
1970-12-31,41-Jährige,411287,385990,797277
1970-12-31,42-Jährige,418672,394267,812939
1970-12-31,43-Jährige,380301,386602,766903
1970-12-31,44-Jährige,359169,404408,763577
1970-12-31,45-Jährige,348134,423990,772124
1970-12-31,46-Jährige,309577,417060,726637
1970-12-31,47-Jährige,306596,418206,724802
1970-12-31,48-Jährige,325669,440241,765910
1970-12-31,49-Jährige,337581,464994,802575
1970-12-31,50-Jährige,331185,468588,799773
1970-12-31,51-Jährige,257033,359215,616248
1970-12-31,52-Jährige,173856,242041,415897
1970-12-31,53-Jährige,169241,233116,402357
1970-12-31,54-Jährige,185453,257822,443275
1970-12-31,55-Jährige,241162,340131,581293
1970-12-31,56-Jährige,304821,434265,739086
1970-12-31,57-Jährige,316415,439367,755782
1970-12-31,58-Jährige,324839,445910,770749
1970-12-31,59-Jährige,309027,424800,733827
1970-12-31,60-Jährige,310650,436345,746995
1970-12-31,61-Jährige,317683,440182,757865
1970-12-31,62-Jährige,311081,434004,745085
1970-12-31,63-Jährige,308493,419254,727747
1970-12-31,64-Jährige,296871,410021,706892
1970-12-31,65-Jährige,298739,388924,687663
1970-12-31,66-Jährige,290288,382429,672717
1970-12-31,67-Jährige,269606,361535,631141
1970-12-31,68-Jährige,261171,359514,620685
1970-12-31,69-Jährige,243456,342280,585736
1970-12-31,70-Jährige,221682,318982,540664
1970-12-31,71-Jährige,196939,302306,499245
1970-12-31,72-Jährige,175587,289649,465236
1970-12-31,73-Jährige,153549,266484,420033
1970-12-31,74-Jährige,138520,254637,393157
1970-12-31,75-Jährige,120504,229936,350440
1970-12-31,76-Jährige,107047,212012,319059
1970-12-31,77-Jährige,98353,193675,292028
1970-12-31,78-Jährige,86340,170820,257160
1970-12-31,79-Jährige,79101,155111,234212
1970-12-31,80-Jährige,68194,133151,201345
1970-12-31,81-Jährige,59635,117772,177407
1970-12-31,82-Jährige,52799,101883,154682
1970-12-31,83-Jährige,44858,86170,131028
1970-12-31,84-Jährige,36634,70638,107272
1970-12-31,85 Jahre und mehr,131362,246976,378338
1970-12-31,Insgesamt,29071621,31929543,61001164
1971-12-31,unter 1 Jahr,391188,371639,762827
1971-12-31,1-Jährige,401467,383193,784660
1971-12-31,2-Jährige,451548,430014,881562
1971-12-31,3-Jährige,487588,463299,950887
1971-12-31,4-Jährige,507908,483477,991385
1971-12-31,5-Jährige,522301,497042,1019343
1971-12-31,6-Jährige,523498,496931,1020429
1971-12-31,7-Jährige,533763,506975,1040738
