GENESIS-Tabelle: 12411-0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortschreibung des Bevölkerungsstandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bevölkerungsstand (Anzahl),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Baden-Württemberg,Baden-Württemberg,Baden-Württemberg,Bayern,Bayern,Bayern,Berlin,Berlin,Berlin,Brandenburg,Brandenburg,Brandenburg,Bremen,Bremen,Bremen,Hamburg,Hamburg,Hamburg,Hessen,Hessen,Hessen,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen,Niedersachsen,Nordrhein-Westfalen,Nordrhein-Westfalen,Nordrhein-Westfalen,Rheinland-Pfalz,Rheinland-Pfalz,Rheinland-Pfalz,Saarland,Saarland,Saarland,Sachsen,Sachsen,Sachsen,Sachsen-Anhalt,Sachsen-Anhalt,Sachsen-Anhalt,Schleswig-Holstein,Schleswig-Holstein,Schleswig-Holstein,Thüringen,Thüringen,Thüringen
,,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt,männlich,weiblich,Insgesamt
2016-12-31,unter 1 Jahr,55048,52071,107119,64417,61056,125473,20715,19808,40523,10881,10324,21205,3570,3344,6914,10685,10361,21046,30951,29696,60647,6822,6619,13441,37770,36139,73909,88211,84337,172548,19352,18188,37540,4102,4109,8211,19364,18439,37803,9362,8791,18153,12933,12484,25417,9381,8969,18350
2016-12-31,1-Jährige,52747,50992,103739,62053,59026,121079,19746,18454,38200,10666,9945,20611,3424,3230,6654,9963,9516,19479,30285,28528,58813,6994,6748,13742,36704,34406,71110,85561,80654,166215,18643,17735,36378,4150,3699,7849,19290,18112,37402,9217,8836,18053,12724,12032,24756,9532,8907,18439
2016-12-31,2-Jährige,52297,49242,101539,61140,57745,118885,19171,18419,37590,11032,10510,21542,3363,3044,6407,9532,9249,18781,29289,28023,57312,6906,6603,13509,36682,34426,71108,84319,79553,163872,18342,17539,35881,4035,3825,7860,19118,18256,37374,9474,8740,18214,12592,12108,24700,9564,9079,18643
2016-12-31,3-Jährige,50748,47747,98495,58917,56576,115493,18217,17233,35450,10713,10130,20843,3026,2899,5925,9016,8668,17684,28440,27037,55477,6854,6567,13421,35085,33453,68538,81153,75754,156907,17794,16964,34758,3873,3504,7377,18870,17550,36420,9205,8706,17911,12396,11743,24139,9417,8948,18365
2016-12-31,4-Jährige,49887,47233,97120,59000,55598,114598,18184,17075,35259,10938,10513,21451,3000,2844,5844,8773,8323,17096,28493,26808,55301,6982,6627,13609,35061,33103,68164,80762,76583,157345,17755,16634,34389,3871,3626,7497,18749,17789,36538,9253,8861,18114,12666,11931,24597,9371,8915,18286
2016-12-31,5-Jährige,48985,46728,95713,57027,53706,110733,17050,16070,33120,10874,10439,21313,2846,2639,5485,8201,7892,16093,28318,26781,55099,6939,6534,13473,34501,32734,67235,78882,74730,153612,17637,16658,34295,4012,3703,7715,18537,17447,35984,9140,8596,17736,12258,11710,23968,9276,8799,18075
2016-12-31,6-Jährige,50571,47643,98214,57384,54735,112119,16960,16179,33139,11581,10764,22345,2965,2809,5774,8343,7893,16236,28567,27361,55928,7209,6916,14125,35897,33796,69693,81367,76484,157851,17906,16870,34776,3893,3777,7670,18586,17857,36443,9213,8847,18060,12955,12222,25177,9394,9046,18440
2016-12-31,7-Jährige,49940,47376,97316,56772,53789,110561,16501,15821,32322,11173,10652,21825,3010,2774,5784,8215,7634,15849,28390,26688,55078,7027,6840,13867,35656,33386,69042,80126,75587,155713,17573,16489,34062,3880,3706,7586,18301,17059,35360,9196,8666,17862,12825,11890,24715,8935,8737,17672
2016-12-31,8-Jährige,51077,48787,99864,58354,55427,113781,16736,15589,32325,11470,10870,22340,2919,2851,5770,8343,7829,16172,28848,27506,56354,7073,6809,13882,36523,34611,71134,83168,78053,161221,18327,17169,35496,4042,3783,7825,18313,17385,35698,9437,8943,18380,12944,12550,25494,9352,8816,18168
2016-12-31,9-Jährige,51144,49224,100368,58136,55498,113634,16257,15072,31329,11209,10598,21807,3055,2925,5980,8177,7601,15778,29134,27181,56315,6841,6526,13367,36969,34515,71484,82713,77985,160698,18286,16980,35266,3999,3720,7719,17837,16842,34679,9158,8618,17776,13367,12513,25880,9188,8502,17690
2016-12-31,10-Jährige,50819,48275,99094,57404,54121,111525,15121,14640,29761,10814,10036,20850,2985,2762,5747,8065,7367,15432,28266,26937,55203,6708,6259,12967,36616,34329,70945,82133,77303,159436,17928,16605,34533,4077,3624,7701,16945,16168,33113,8943,8046,16989,13138,12374,25512,8682,8008,16690
2016-12-31,11-Jährige,51906,49367,101273,58429,55176,113605,14977,14041,29018,10534,10026,20560,3035,2619,5654,7956,7460,15416,29016,27428,56444,6392,6265,12657,37242,35293,72535,83513,78257,161770,18116,17143,35259,4091,3882,7973,16940,16175,33115,8769,8486,17255,13137,12450,25587,8722,8237,16959
2016-12-31,12-Jährige,53333,50063,103396,59335,57200,116535,14846,14050,28896,10832,10109,20941,2920,2718,5638,7880,7349,15229,29422,27743,57165,6770,6451,13221,38619,36680,75299,85384,80501,165885,18814,17354,36168,4230,3876,8106,17098,16370,33468,8906,8282,17188,13805,12987,26792,9044,8463,17507
2016-12-31,13-Jährige,53873,50102,103975,60187,57467,117654,14249,13509,27758,10801,10024,20825,2913,2846,5759,7734,7175,14909,29217,27586,56803,6638,6304,12942,38766,36933,75699,86512,80936,167448,18917,17898,36815,4191,3883,8074,16483,15850,32333,8658,8035,16693,13898,13204,27102,8706,8332,17038
2016-12-31,14-Jährige,54829,51159,105988,61391,58299,119690,14372,13386,27758,10550,9998,20548,2968,2683,5651,7557,7190,14747,29986,27764,57750,6608,6062,12670,40407,38048,78455,88434,82870,171304,19293,18247,37540,4397,4053,8450,16265,15548,31813,9070,8216,17286,14254,13497,27751,8741,8214,16955
2016-12-31,15-Jährige,56306,52444,108750,63941,59126,123067,14215,13543,27758,10670,9814,20484,3179,2879,6058,7756,7276,15032,30944,28406,59350,6770,6248,13018,41981,39682,81663,91180,84978,176158,20275,18747,39022,4543,4209,8752,16662,15330,31992,9182,8335,17517,14769,14027,28796,8993,8451,17444
2016-12-31,16-Jährige,59847,55380,115227,67234,62572,129806,14995,13743,28738,11264,10534,21798,3364,3017,6381,8426,7498,15924,32603,30134,62737,7065,6368,13433,45022,41425,86447,96701,89301,186002,21573,19914,41487,4872,4424,9296,17422,15992,33414,9749,8455,18204,15768,14810,30578,9271,8432,17703
2016-12-31,17-Jährige,62414,55734,118148,70699,63122,133821,14981,13627,28608,11252,10028,21280,3752,3200,6952,8625,7660,16285,33871,29885,63756,6786,6053,12839,46228,41720,87948,99115,90010,189125,22140,20233,42373,5083,4665,9748,16963,15154,32117,9731,8082,17813,16667,14876,31543,9364,7938,17302
2016-12-31,18-Jährige,64877,58317,123194,74135,65536,139671,15369,14357,29726,10768,9409,20177,4239,3261,7500,9029,8111,17140,35130,31074,66204,6538,6023,12561,47010,43154,90164,102554,92764,195318,22948,21325,44273,5362,4640,10002,16280,14819,31099,9144,8080,17224,16363,15182,31545,8954,7897,16851
2016-12-31,19-Jährige,69892,61958,131850,78158,69175,147333,17029,15682,32711,10296,8784,19080,4247,3668,7915,9884,8900,18784,37829,33157,70986,6759,6008,12767,48918,44596,93514,108686,97692,206378,24571,22373,46944,5644,5034,10678,16596,15230,31826,9562,8151,17713,17339,15629,32968,9075,8004,17079
2016-12-31,20-Jährige,69964,62159,132123,78019,70068,148087,17481,17092,34573,9807,8077,17884,4366,3817,8183,10246,9571,19817,37146,33382,70528,6486,5739,12225,48553,43594,92147,108875,98231,207106,24163,21869,46032,5688,4969,10657,16423,15010,31433,9247,7927,17174,16917,15442,32359,8634,7907,16541
2016-12-31,21-Jährige,69527,62088,131615,77712,70059,147771,18118,17862,35980,8843,7278,16121,4135,4140,8275,10295,9838,20133,36736,33003,69739,5866,5367,11233,47702,42610,90312,107522,97294,204816,23449,21581,45030,5525,4880,10405,15793,14111,29904,8802,7464,16266,16157,14515,30672,8294,7305,15599
2016-12-31,22-Jährige,70757,63176,133933,79229,71804,151033,19028,19158,38186,8216,6720,14936,4433,4180,8613,10987,10758,21745,37464,34074,71538,5600,5017,10617,48029,42892,90921,110258,100157,210415,24124,22326,46450,5678,5143,10821,15537,13808,29345,8590,7331,15921,16446,14627,31073,7841,6939,14780
2016-12-31,23-Jährige,72949,65602,138551,83264,76062,159326,20414,20744,41158,7882,6760,14642,4633,4434,9067,11486,11566,23052,38309,35445,73754,5830,5143,10973,49318,43826,93144,113959,104844,218803,25194,23041,48235,5988,5349,11337,16123,14394,30517,8715,7475,16190,16718,15061,31779,8114,7215,15329
2016-12-31,24-Jährige,74085,66128,140213,84240,78248,162488,21872,22821,44693,8403,7041,15444,4779,4599,9378,12111,12438,24549,38991,36141,75132,6356,5651,12007,49024,43851,92875,115490,106373,221863,25521,23697,49218,6119,5609,11728,16997,15159,32156,9135,8017,17152,16625,15149,31774,8578,7859,16437
2016-12-31,25-Jährige,75415,68614,144029,87343,79810,167153,24305,25014,49319,9308,8233,17541,5159,4720,9879,13074,13448,26522,40050,37768,77818,7081,6392,13473,49553,44696,94249,117562,109733,227295,26316,23930,50246,6364,5693,12057,19633,17507,37140,10145,8698,18843,16847,15431,32278,9680,8609,18289
2016-12-31,26-Jährige,79522,72192,151714,91977,84811,176788,29647,30463,60110,13427,12270,25697,5497,4896,10393,14473,15226,29699,42609,40133,82742,10334,9373,19707,52104,46246,98350,122501,113570,236071,27167,24616,51783,6534,5835,12369,27845,24481,52326,14547,12056,26603,17745,16200,33945,13689,12027,25716
2016-12-31,27-Jährige,77697,70541,148238,89370,83409,172779,31067,31990,63057,14296,12976,27272,5376,4978,10354,14666,15311,29977,42313,39747,82060,10801,9603,20404,50357,45380,95737,117854,111381,229235,26357,24024,50381,6392,5695,12087,28658,25263,53921,14490,12570,27060,17073,15772,32845,13794,12305,26099
2016-12-31,28-Jährige,79624,71681,151305,91844,85142,176986,32534,32993,65527,14913,13580,28493,5483,5136,10619,15327,16249,31576,43021,40104,83125,11345,9911,21256,51376,46473,97849,120499,113162,233661,26934,24484,51418,6475,5832,12307,29228,26064,55292,15103,12989,28092,17687,15980,33667,14769,12949,27718
2016-12-31,29-Jährige,76183,69383,145566,89830,82625,172455,32572,32637,65209,15151,14159,29310,5246,4867,10113,15294,15712,31006,41658,39348,81006,11412,10152,21564,49893,45740,95633,117235,110859,228094,25673,24025,49698,6353,5793,12146,29690,26368,56058,14796,13005,27801,17090,15692,32782,14853,12921,27774
2016-12-31,30-Jährige,75008,69592,144600,88633,83001,171634,32166,31837,64003,14783,13973,28756,5178,4680,9858,15182,15435,30617,40708,39068,79776,10882,9887,20769,48602,45020,93622,114287,110074,224361,25272,23645,48917,6315,5732,12047,28090,25551,53641,14353,12476,26829,16230,15554,31784,14570,12419,26989
2016-12-31,31-Jährige,72532,67071,139603,84676,80328,165004,31624,30960,62584,15391,14154,29545,4923,4440,9363,14689,15046,29735,39526,37467,76993,10818,9792,20610,46105,44214,90319,109795,106190,215985,24228,22849,47077,5935,5449,11384,28673,25262,53935,14246,12414,26660,15639,15305,30944,14187,12400,26587
2016-12-31,32-Jährige,71840,67204,139044,84574,80538,165112,30854,29781,60635,15082,14225,29307,4667,4399,9066,14750,14892,29642,39488,38523,78011,10495,9573,20068,45857,43277,89134,108974,105727,214701,24033,22993,47026,5792,5432,11224,27756,24995,52751,14139,12503,26642,15560,15325,30885,14225,12414,26639
2016-12-31,33-Jährige,70558,67532,138090,84997,81203,166200,30308,29309,59617,15266,14400,29666,4776,4534,9310,14546,14740,29286,39108,38432,77540,10635,9569,20204,45792,44360,90152,108742,106481,215223,24112,23136,47248,5908,5506,11414,27978,25023,53001,14382,12472,26854,15734,15810,31544,14327,12505,26832
2016-12-31,34-Jährige,72390,69158,141548,86471,84126,170597,30441,29138,59579,15766,14586,30352,4753,4642,9395,14703,14690,29393,40263,39776,80039,10863,9643,20506,46469,45591,92060,111134,109334,220468,24724,23900,48624,5995,5613,11608,28517,25061,53578,14221,12272,26493,16258,16547,32805,14711,12720,27431
2016-12-31,35-Jährige,71401,69303,140704,85940,84144,170084,29382,28699,58081,15579,14793,30372,4614,4133,8747,14386,14881,29267,39570,40155,79725,10495,9291,19786,46275,46106,92381,109402,108997,218399,24440,24214,48654,6002,5499,11501,27597,24283,51880,14097,12222,26319,16230,16709,32939,14177,12447,26624
