GENESIS-Tabelle: 12613-0006;;;
Gestorbene: Deutschland; Monate; Geschlecht;
Statistik der Sterbefälle;;;
Deutschland;;;
Gestorbene (Anzahl);;;
;;männlich;weiblich
1950;Januar;33504;33511
1950;Februar;33142;33119
1950;März;35685;36082
1950;April;32922;33146
1950;Mai;32312;31782
1950;Juni;29368;28880
1950;Juli;28298;27846
1950;August;28121;27242
1950;September;27068;25969
1950;Oktober;29801;29062
1950;November;31481;32105
1950;Dezember;33621;34262
1951;Januar;38485;39223
1951;Februar;34867;35678
1951;März;36482;36651
1951;April;32595;32237
1951;Mai;31432;31007
1951;Juni;29440;28126
1951;Juli;28998;27621
1951;August;28166;26744
1951;September;26422;25169
1951;Oktober;30992;29596
1951;November;30057;29215
1951;Dezember;32219;31275
1952;Januar;34959;34017
1952;Februar;32996;33208
1952;März;37786;38448
1952;April;36869;37931
1952;Mai;31295;30452
1952;Juni;29209;28454
1952;Juli;30739;29455
1952;August;28197;27364
1952;September;27606;26326
1952;Oktober;30984;30090
1952;November;30799;30025
1952;Dezember;35564;34866
1953;Januar;40965;40592
1953;Februar;47848;48345
1953;März;39721;39749
1953;April;32203;31833
1953;Mai;32049;30898
1953;Juni;29257;27809
1953;Juli;28906;27155
1953;August;28199;26527
1953;September;27476;25860
1953;Oktober;29670;28516
1953;November;30515;29645
1953;Dezember;33564;33352
1954;Januar;38677;38902
1954;Februar;38248;38731
1954;März;36575;36447
1954;April;32111;31409
1954;Mai;32728;32415
1954;Juni;29671;28624
1954;Juli;29397;27860
1954;August;29049;27572
1954;September;27951;26373
1954;Oktober;31701;30039
1954;November;32198;30490
1954;Dezember;34304;33819
1955;Januar;37029;36385
1955;Februar;35626;36246
1955;März;41327;42300
1955;April;33997;33521
1955;Mai;33498;32430
1955;Juni;32343;30898
1955;Juli;30681;29254
1955;August;30196;28235
1955;September;28778;26767
1955;Oktober;32288;30115
1955;November;32800;31580
1955;Dezember;35560;34084
1956;Januar;36141;34743
1956;Februar;39075;38243
1956;März;42522;41946
1956;April;37294;36169
1956;Mai;35503;34181
1956;Juni;31366;29434
1956;Juli;32314;30099
1956;August;30337;28328
1956;September;30081;28188
1956;Oktober;31936;30248
1956;November;33603;31995
1956;Dezember;34987;33378
1957;Januar;37257;36348
1957;Februar;32841;32401
1957;März;37849;37354
1957;April;34581;33798
1957;Mai;34945;33054
1957;Juni;32845;31513
1957;Juli;33662;31829
1957;August;31471;29088
1957;September;33282;30462
1957;Oktober;45223;41387
1957;November;36079;33734
1957;Dezember;40430;38762
1958;Januar;42170;41185
1958;Februar;38898;37618
1958;März;40307;39355
1958;April;36056;35420
1958;Mai;34062;32527
1958;Juni;31273;29571
1958;Juli;31254;29809
1958;August;30282;28349
1958;September;29250;27395
1958;Oktober;32701;31176
1958;November;33423;32494
1958;Dezember;37461;36382
1959;Januar;36517;35855
1959;Februar;35570;34451
1959;März;40501;40204
1959;April;38054;36679
1959;Mai;34836;33592
1959;Juni;33331;31458
1959;Juli;33887;32374
1959;August;31382;29426
1959;September;31159;28620
1959;Oktober;35701;33673
1959;November;35922;34153
1959;Dezember;39300;38757
1960;Januar;43376;41856
1960;Februar;50832;48920
1960;März;43125;41970
1960;April;35554;34437
1960;Mai;35509;33891
1960;Juni;32575;31338
1960;Juli;33001;31120
1960;August;32349;30649
1960;September;31216;29500
1960;Oktober;35794;34715
1960;November;35225;34254
1960;Dezember;38443;37072
1961;Januar;40285;39639
1961;Februar;34866;34515
1961;März;36700;36026
1961;April;35328;34795
1961;Mai;36321;34878
1961;Juni;35477;34007
1961;Juli;33653;31933
1961;August;33765;32127
1961;September;32104;30612
1961;Oktober;35337;32976
1961;November;37353;35872
1961;Dezember;41719;40012
1962;Januar;42896;42896
1962;Februar;38031;37089
1962;März;46674;45576
1962;April;38447;37863
1962;Mai;36383;34523
1962;Juni;35560;33684
1962;Juli;34039;32351
1962;August;32632;30400
1962;September;32152;30059
1962;Oktober;34567;33051
1962;November;36135;34404
1962;Dezember;40615;38787
1963;Januar;44438;43920
1963;Februar;49839;49117
1963;März;46268;45392
1963;April;35976;35738
1963;Mai;35890;34526
1963;Juni;32941;31508
1963;Juli;34301;32464
1963;August;33087;30822
1963;September;32339;30626
1963;Oktober;35362;33360
1963;November;35025;33865
1963;Dezember;39662;38604
1964;Januar;41109;40433
1964;Februar;36481;36447
1964;März;39693;38671
1964;April;37578;36282
1964;Mai;37348;35885
1964;Juni;34835;32881
1964;Juli;36311;35131
1964;August;34028;31788
1964;September;32713;30558
1964;Oktober;36717;34941
1964;November;37008;36071
1964;Dezember;39293;38117
