Geschlecht,Jahr,Monat,AlterVon,AlterBis,Anzahl
 1            ,              2021         ,              1            ,              0            ,              14           ,              172
 1            ,              2021         ,              2            ,              0            ,              14           ,              116
 1            ,              2021         ,              3            ,              0            ,              14           ,              152
 1            ,              2021         ,              4            ,              0            ,              14           ,              143
 1            ,              2021         ,              5            ,              0            ,              14           ,              172
 1            ,              2021         ,              6            ,              0            ,              14           ,              162
 1            ,              2021         ,              7            ,              0            ,              14           ,              159
 1            ,              2021         ,              8            ,              0            ,              14           ,              152
 1            ,              2021         ,              9            ,              0            ,              14           ,              154
 1            ,              2021         ,              1            ,              15           ,              29           ,              197
 1            ,              2021         ,              2            ,              15           ,              29           ,              188
 1            ,              2021         ,              3            ,              15           ,              29           ,              215
 1            ,              2021         ,              4            ,              15           ,              29           ,              234
 1            ,              2021         ,              5            ,              15           ,              29           ,              236
 1            ,              2021         ,              6            ,              15           ,              29           ,              281
 1            ,              2021         ,              7            ,              15           ,              29           ,              271
 1            ,              2021         ,              8            ,              15           ,              29           ,              216
 1            ,              2021         ,              9            ,              15           ,              29           ,              220
 1            ,              2021         ,              1            ,              30           ,              34           ,              162
 1            ,              2021         ,              2            ,              30           ,              34           ,              126
 1            ,              2021         ,              3            ,              30           ,              34           ,              159
 1            ,              2021         ,              4            ,              30           ,              34           ,              154
 1            ,              2021         ,              5            ,              30           ,              34           ,              136
 1            ,              2021         ,              6            ,              30           ,              34           ,              145
 1            ,              2021         ,              7            ,              30           ,              34           ,              160
 1            ,              2021         ,              8            ,              30           ,              34           ,              149
 1            ,              2021         ,              9            ,              30           ,              34           ,              135
 1            ,              2021         ,              1            ,              35           ,              39           ,              209
 1            ,              2021         ,              2            ,              35           ,              39           ,              183
 1            ,              2021         ,              3            ,              35           ,              39           ,              238
 1            ,              2021         ,              4            ,              35           ,              39           ,              232
 1            ,              2021         ,              5            ,              35           ,              39           ,              250
 1            ,              2021         ,              6            ,              35           ,              39           ,              248
 1            ,              2021         ,              7            ,              35           ,              39           ,              202
 1            ,              2021         ,              8            ,              35           ,              39           ,              249
 1            ,              2021         ,              9            ,              35           ,              39           ,              256
 1            ,              2021         ,              1            ,              40           ,              44           ,              348
 1            ,              2021         ,              2            ,              40           ,              44           ,              329
 1            ,              2021         ,              3            ,              40           ,              44           ,              351
 1            ,              2021         ,              4            ,              40           ,              44           ,              337
 1            ,              2021         ,              5            ,              40           ,              44           ,              358
 1            ,              2021         ,              6            ,              40           ,              44           ,              335
 1            ,              2021         ,              7            ,              40           ,              44           ,              293
 1            ,              2021         ,              8            ,              40           ,              44           ,              310
 1            ,              2021         ,              9            ,              40           ,              44           ,              304
 1            ,              2021         ,              1            ,              45           ,              49           ,              585
 1            ,              2021         ,              2            ,              45           ,              49           ,              503
 1            ,              2021         ,              3            ,              45           ,              49           ,              528
