Geschlecht,Jahr,Monat,AlterVon,AlterBis,Anzahl
 1            ,              2021         ,              1            ,              0            ,              29           ,              77
 1            ,              2021         ,              2            ,              0            ,              29           ,              80
 1            ,              2021         ,              3            ,              0            ,              29           ,              72
 1            ,              2021         ,              4            ,              0            ,              29           ,              95
 1            ,              2021         ,              5            ,              0            ,              29           ,              86
 1            ,              2021         ,              6            ,              0            ,              29           ,              56
 1            ,              2021         ,              7            ,              0            ,              29           ,              75
 1            ,              2021         ,              8            ,              0            ,              29           ,              87
 1            ,              2021         ,              9            ,              0            ,              29           ,              85
 1            ,              2021         ,              10           ,              0            ,              29           ,              74
 1            ,              2021         ,              11           ,              0            ,              29           ,              95
 1            ,              2021         ,              12           ,              0            ,              29           ,              73
 1            ,              2021         ,              13           ,              0            ,              29           ,              94
 1            ,              2021         ,              14           ,              0            ,              29           ,              80
 1            ,              2021         ,              15           ,              0            ,              29           ,              93
 1            ,              2021         ,              16           ,              0            ,              29           ,              96
 1            ,              2021         ,              17           ,              0            ,              29           ,              71
 1            ,              2021         ,              18           ,              0            ,              29           ,              94
 1            ,              2021         ,              19           ,              0            ,              29           ,              91
 1            ,              2021         ,              20           ,              0            ,              29           ,              94
 1            ,              2021         ,              21           ,              0            ,              29           ,              97
 1            ,              2021         ,              22           ,              0            ,              29           ,              100
 1            ,              2021         ,              23           ,              0            ,              29           ,              104
 1            ,              2021         ,              24           ,              0            ,              29           ,              112
 1            ,              2021         ,              25           ,              0            ,              29           ,              104
 1            ,              2021         ,              26           ,              0            ,              29           ,              89
 1            ,              2021         ,              27           ,              0            ,              29           ,              101
 1            ,              2021         ,              28           ,              0            ,              29           ,              91
 1            ,              2021         ,              29           ,              0            ,              29           ,              103
 1            ,              2021         ,              30           ,              0            ,              29           ,              92
 1            ,              2021         ,              31           ,              0            ,              29           ,              93
 1            ,              2021         ,              32           ,              0            ,              29           ,              79
 1            ,              2021         ,              33           ,              0            ,              29           ,              84
 1            ,              2021         ,              34           ,              0            ,              29           ,              80
 1            ,              2021         ,              35           ,              0            ,              29           ,              80
 1            ,              2021         ,              36           ,              0            ,              29           ,              104
 1            ,              2021         ,              37           ,              0            ,              29           ,              84
 1            ,              2021         ,              38           ,              0            ,              29           ,              95
 1            ,              2021         ,              39           ,              0            ,              29           ,              77
 1            ,              2021         ,              40           ,              0            ,              29           ,              85
 1            ,              2021         ,              1            ,              30           ,              34           ,              36
 1            ,              2021         ,              2            ,              30           ,              34           ,              37
 1            ,              2021         ,              3            ,              30           ,              34           ,              38
 1            ,              2021         ,              4            ,              30           ,              34           ,              37
 1            ,              2021         ,              5            ,              30           ,              34           ,              44
 1            ,              2021         ,              6            ,              30           ,              34           ,              29
 1            ,              2021         ,              7            ,              30           ,              34           ,              28
 1            ,              2021         ,              8            ,              30           ,              34           ,              25
 1            ,              2021         ,              9            ,              30           ,              34           ,              21
 1            ,              2021         ,              10           ,              30           ,              34           ,              45
 1            ,              2021         ,              11           ,              30           ,              34           ,              36
 1            ,              2021         ,              12           ,              30           ,              34           ,              37
 1            ,              2021         ,              13           ,              30           ,              34           ,              38
 1            ,              2021         ,              14           ,              30           ,              34           ,              29
 1            ,              2021         ,              15           ,              30           ,              34           ,              39
