"";"Jahr";"Kw";"AlterVon";"Geschlecht";"Mortality"
"1";2016;1;0;"männlich";1,6982
"2";2016;2;0;"männlich";1,6803
"3";2016;3;0;"männlich";1,5015
"4";2016;4;0;"männlich";1,8948
"5";2016;5;0;"männlich";1,6982
"6";2016;6;0;"männlich";1,6982
"7";2016;7;0;"männlich";1,5373
"8";2016;8;0;"männlich";1,8948
"9";2016;9;0;"männlich";1,6267
"10";2016;10;0;"männlich";1,43
"11";2016;11;0;"männlich";1,9127
"12";2016;12;0;"männlich";1,8948
"13";2016;13;0;"männlich";2,02
"14";2016;14;0;"männlich";1,6803
"15";2016;15;0;"männlich";1,6446
"16";2016;16;0;"männlich";1,8412
"17";2016;17;0;"männlich";1,7161
"18";2016;18;0;"männlich";2,0557
"19";2016;19;0;"männlich";1,9127
"20";2016;20;0;"männlich";1,7697
"21";2016;21;0;"männlich";1,7876
"22";2016;22;0;"männlich";1,7697
"23";2016;23;0;"männlich";2,02
"24";2016;24;0;"männlich";1,5373
"25";2016;25;0;"männlich";1,7876
"26";2016;26;0;"männlich";1,9842
"27";2016;27;0;"männlich";1,9127
"28";2016;28;0;"männlich";1,6982
"29";2016;29;0;"männlich";2,163
"30";2016;30;0;"männlich";1,8054
"31";2016;31;0;"männlich";1,8769
"32";2016;32;0;"männlich";1,5909
"33";2016;33;0;"männlich";1,6446
"34";2016;34;0;"männlich";1,9842
"35";2016;35;0;"männlich";2,0736
"36";2016;36;0;"männlich";1,8412
"37";2016;37;0;"männlich";1,9484
"38";2016;38;0;"männlich";1,8948
"39";2016;39;0;"männlich";1,7697
"40";2016;40;0;"männlich";1,7697
"41";2016;41;0;"männlich";2,2166
"42";2016;42;0;"männlich";1,6982
"43";2016;43;0;"männlich";1,3407
"44";2016;44;0;"männlich";1,6982
"45";2016;45;0;"männlich";1,8769
"46";2016;46;0;"männlich";1,9484
"47";2016;47;0;"männlich";1,6267
"48";2016;48;0;"männlich";1,7697
"49";2016;49;0;"männlich";1,7518
"50";2016;50;0;"männlich";1,7518
"51";2016;51;0;"männlich";1,6088
"52";2016;52;0;"männlich";1,8233
"53";2016;1;30;"männlich";1,3977
"54";2016;2;30;"männlich";1,2088
"55";2016;3;30;"männlich";1,5488
"56";2016;4;30;"männlich";1,7377
"57";2016;5;30;"männlich";1,6622
"58";2016;6;30;"männlich";1,3599
"59";2016;7;30;"männlich";1,5488
"60";2016;8;30;"männlich";1,3977
"61";2016;9;30;"männlich";1,3222
"62";2016;10;30;"männlich";1,1333
"63";2016;11;30;"männlich";1,5488
"64";2016;12;30;"männlich";1,2088
"65";2016;13;30;"männlich";1,5488
"66";2016;14;30;"männlich";1,3977
"67";2016;15;30;"männlich";1,4355
"68";2016;16;30;"männlich";0,9822
"69";2016;17;30;"männlich";1,1333
"70";2016;18;30;"männlich";1,2466
"71";2016;19;30;"männlich";1,1711
"72";2016;20;30;"männlich";1,0577
"73";2016;21;30;"männlich";1,1333
"74";2016;22;30;"männlich";1,0577
"75";2016;23;30;"männlich";1,5488
"76";2016;24;30;"männlich";0,8688
"77";2016;25;30;"männlich";1,4355
"78";2016;26;30;"männlich";1,5111
"79";2016;27;30;"männlich";0,9444
"80";2016;28;30;"männlich";1,2088
"81";2016;29;30;"männlich";1,3599
"82";2016;30;30;"männlich";1,6622
"83";2016;31;30;"männlich";1,1333
